procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0   1440      0    318    0    0     0     0    0 1155 91  0  9  0  0  0 2025-12-22 10:49:46
 1  0      0   1440      0    318    0    0     0     0    0 1138 90  1  9  0  0  0 2025-12-22 10:49:47
 1  0      0   1440      0    318    0    0     0     0    0 1388 91  0  9  0  0  0 2025-12-22 10:49:48
 1  0      0   1440      0    318    0    0     0     0    0 1651 90  0 10  0  0  0 2025-12-22 10:49:49
 1  0      0   1439      0    318    0    0     0     0    0 1136 91  0  9  0  0  0 2025-12-22 10:49:50
 1  0      0   1435      0    324    0    0  6124     0    0 2441 90  4  6  0  0  0 2025-12-22 10:49:51
 1  0      0   1435      0    324    0    0     0     0    0 1654 91  0  9  0  0  0 2025-12-22 10:49:52
 1  0      0   1435      0    324    0    0     0     0    0 1652 91  0  9  0  0  0 2025-12-22 10:49:53
 1  0      0   1435      0    324    0    0     0     0    0 1655 91  0  9  0  0  0 2025-12-22 10:49:54
 1  0      0   1435      0    324    0    0   164     0    0 1423 90  1  9  0  0  0 2025-12-22 10:49:55
 1  0      0   1435      0    324    0    0     0     0    0  869 91  0  9  0  0  0 2025-12-22 10:49:56
 1  0      0   1435      0    324    0    0     0     0    0 1408 91  0  9  0  0  0 2025-12-22 10:49:57
 1  0      0   1435      0    325    0    0  1076     0    0 2292 91  0  9  0  0  0 2025-12-22 10:49:58
 1  0      0   1435      0    326    0    0   384     0    0 1681 90  1  9  0  0  0 2025-12-22 10:49:59
 2  0      0   1443      0    326    0    0     0     0    0 1663 91  0  9  0  0  0 2025-12-22 10:50:00
 1  0      0   1439      0    326    0    0   400     0    0 1133 91  0  9  0  0  0 2025-12-22 10:50:01
 1  0      0   1439      0    326    0    0     4    20    0 1401 91  0  9  0  0  0 2025-12-22 10:50:02
 1  0      0   1439      0    326    0    0     0     0    0 1655 91  0  9  0  0  0 2025-12-22 10:50:03
 1  0      0   1439      0    326    0    0     0     0    0 1654 91  0  9  0  0  0 2025-12-22 10:50:04
 1  0      0   1439      0    326    0    0     0     0    0 1694 91  0  9  0  0  0 2025-12-22 10:50:05
 1  0      0   1439      0    327    0    0   764     0    0  985 91  0  9  0  0  0 2025-12-22 10:50:06
 1  0      0   1439      0    327    0    0     0     0    0 1395 90  0 10  0  0  0 2025-12-22 10:50:07
 1  0      0   1439      0    327    0    0     0     0    0 1658 90  1  9  0  0  0 2025-12-22 10:50:08
 1  0      0   1439      0    327    0    0     0     0    0 1653 91  0  9  0  0  0 2025-12-22 10:50:09
 1  0      0   1439      0    327    0    0     0     0    0 1667 91  0  9  0  0  0 2025-12-22 10:50:10
 1  0      0   1432      0    327    0    0   432     0    0 1365 90  3  7  0  0  0 2025-12-22 10:50:11
 1  0      0   1432      0    327    0    0     0     0    0 1927 90  1  9  0  0  0 2025-12-22 10:50:12
 1  0      0   1432      0    327    0    0     0     0    0 1925 91  0  9  0  0  0 2025-12-22 10:50:13
 1  0      0   1432      0    327    0    0     0     0    0 1920 91  0  9  0  0  0 2025-12-22 10:50:14
 1  0      0   1432      0    327    0    0     0     0    0 1973 90  1  9  0  0  0 2025-12-22 10:50:15
 1  0      0   1432      0    327    0    0     0     0    0 1945 91  0  9  0  0  0 2025-12-22 10:50:16
 1  0      0   1432      0    327    0    0     0     0    0 1129 91  0  9  0  0  0 2025-12-22 10:50:17
 1  0      0   1432      0    327    0    0     0     0    0 1670 91  0  9  0  0  0 2025-12-22 10:50:18
 1  0      0   1432      0    327    0    0     0     0    0 1935 91  0  9  0  0  0 2025-12-22 10:50:19
 1  0      0   1432      0    327    0    0     0     0    0 1670 91  0  9  0  0  0 2025-12-22 10:50:20
 1  0      0   1436      0    328    0    0   420     0    0 1957 91  1  8  0  0  0 2025-12-22 10:50:21
 1  0      0   1436      0    328    0    0   360     0    0 1976 91  0  9  0  0  0 2025-12-22 10:50:22
 1  0      0   1436      0    328    0    0     0     0    0 1393 91  0  9  0  0  0 2025-12-22 10:50:23
 1  0      0   1436      0    328    0    0     0     0    0 1652 90  1  9  0  0  0 2025-12-22 10:50:24
 1  0      0   1436      0    328    0    0     0     0    0 1671 91  0  9  0  0  0 2025-12-22 10:50:25
 1  0      0   1436      0    328    0    0     0     0    0 1938 91  0  9  0  0  0 2025-12-22 10:50:26
 1  0      0   1227      0    462    0    0 136976     0    0 2137 80  7  8  5  0  0 2025-12-22 10:50:27
 1  0      0    722      0    592    0    0 133344     0    0 2104 31 59  5  5  0  0 2025-12-22 10:50:28
 1  0      0    780      0    597    0    0  4944     0    0 2327 89  1  9  0  0  0 2025-12-22 10:50:29
 1  0      0    490      0    365    0    0    20     0    0 1070 77 16  7  0  0  0 2025-12-22 10:50:30
 1  0      0    483      0    375    0    0  9592     0    0 2760 92  3  5  0  0  0 2025-12-22 10:50:31
 1  0      0    483      0    375    0    0     0    20    0 1393 91  0  9  0  0  0 2025-12-22 10:50:32
 1  0      0    483      0    375    0    0     0     0    0 1661 91  0  9  0  0  0 2025-12-22 10:50:33
 1  0      0    463      0    375    0    0     0     0    0 1661 89  1 10  0  0  0 2025-12-22 10:50:34
 1  0      0   1338      0    375    0    0    92     0    0 1743 89  2  9  0  0  0 2025-12-22 10:50:35
 1  0      0   1338      0    375    0    0     0     0    0 1673 91  0  9  0  0  0 2025-12-22 10:50:36
 1  0      0   1338      0    375    0    0     0     8    0 1655 91  0  9  0  0  0 2025-12-22 10:50:37
 1  0      0   1338      0    375    0    0     0     0    0  862 91  0  9  0  0  0 2025-12-22 10:50:38
 1  0      0   1338      0    375    0    0     0     0    0 1396 91  0  9  0  0  0 2025-12-22 10:50:39
 1  0      0   1338      0    375    0    0     0     0    0 1683 91  0  9  0  0  0 2025-12-22 10:50:40
 1  0      0   1344      0    375    0    0     0     0    0 1672 91  1  8  0  0  0 2025-12-22 10:50:41
 1  0      0   1344      0    375    0    0     4     8    0 1688 91  0  9  0  0  0 2025-12-22 10:50:42
 1  0      0   1344      0    375    0    0    76     0    0 1686 91  0  9  0  0  0 2025-12-22 10:50:43
 1  0      0   1344      0    375    0    0     0     0    0  868 90  0 10  0  0  0 2025-12-22 10:50:44
 1  0      0   1344      0    375    0    0     0     0    0 1408 90  1  9  0  0  0 2025-12-22 10:50:45
 1  0      0   1344      0    375    0    0     0     0    0 1663 91  0  9  0  0  0 2025-12-22 10:50:46
 1  0      0   1408      0    375    0    0     0     0    0 1669 91  0  9  0  0  0 2025-12-22 10:50:47
 1  0      0   1408      0    375    0    0    68     0    0 1680 90  1  9  0  0  0 2025-12-22 10:50:48
 1  0      0   1408      0    375    0    0     0     0    0  865 91  0  9  0  0  0 2025-12-22 10:50:49
 1  0      0   1408      0    375    0    0    20     0    0 1418 91  0  9  0  0  0 2025-12-22 10:50:50
 1  0      0   1398      0    376    0    0   476     0    0 2199 91  2  7  0  0  0 2025-12-22 10:50:51
 1  0      0   1390      0    376    0    0     0     0    0 1658 91  0  9  0  0  0 2025-12-22 10:50:52
 1  0      0   1390      0    376    0    0     0     0    0 1655 91  0  9  0  0  0 2025-12-22 10:50:53
 1  0      0   1390      0    376    0    0     0     0    0  863 91  0  9  0  0  0 2025-12-22 10:50:54
 1  0      0   1390      0    376    0    0     0     0    0 1417 91  0  9  0  0  0 2025-12-22 10:50:55
 1  0      0   1390      0    376    0    0     0     0    0 1401 91  0  9  0  0  0 2025-12-22 10:50:56
 1  0      0   1390      0    376    0    0    68     0    0 1681 91  0  9  0  0  0 2025-12-22 10:50:57
 1  0      0   1390      0    376    0    0     0     0    0 1670 90  1  9  0  0  0 2025-12-22 10:50:58
 1  0      0   1390      0    376    0    0     0     0    0 1678 91  0  9  0  0  0 2025-12-22 10:50:59
 1  0      0   1390      0    376    0    0     0     0    0 1125 91  0  9  0  0  0 2025-12-22 10:51:00
 1  0      0   1390      0    376    0    0     0     0    0 1655 90  0 10  0  0  0 2025-12-22 10:51:01
 1  0      0   1374      0    376    0    0     0     0    0 1398 92  0  8  0  0  0 2025-12-22 10:51:02
 1  0      0   1374      0    376    0    0     0    24    0 1396 91  0  9  0  0  0 2025-12-22 10:51:03
 1  0      0   1374      0    376    0    0     0     0    0 1655 90  1  9  0  0  0 2025-12-22 10:51:04
 1  0      0   1374      0    376    0    0     0     0    0 1696 91  0  9  0  0  0 2025-12-22 10:51:05
 1  0      0   1374      0    376    0    0     0     0    0 1655 91  0  9  0  0  0 2025-12-22 10:51:06
 1  0      0   1374      0    376    0    0     0     0    0 1659 91  0  9  0  0  0 2025-12-22 10:51:07
 1  0      0   1374      0    376    0    0     0     8    0  862 90  0 10  0  0  0 2025-12-22 10:51:08
 1  0      0   1374      0    376    0    0     0     0    0 1391 91  0  9  0  0  0 2025-12-22 10:51:09
 1  0      0   1374      0    376    0    0   156     0    0 1670 91  0  9  0  0  0 2025-12-22 10:51:10
 1  0      0   1365      0    376    0    0   312     0    0 2484 90  3  7  0  0  0 2025-12-22 10:51:11
