procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0   1707     14   1879    0    0     0     0    0  859 91  0  9  0  0  0 2025-12-22 10:48:55
 1  0      0   1710     14   1879    0    0     0     0    0 1661 90  1  9  0  0  0 2025-12-22 10:48:56
 1  0      0   1710     14   1879    0    0     0     0    0 1661 90  1  9  0  0  0 2025-12-22 10:48:57
 1  0      0   1710     14   1879    0    0     0     0    0 1415 91  0  9  0  0  0 2025-12-22 10:48:58
 1  0      0   1722     14   1879    0    0     0     0    0 2773 90  2  8  0  0  0 2025-12-22 10:48:59
 1  0      0   1722     14   1879    0    0     0  1484    0 1437 90  1  9  0  0  0 2025-12-22 10:49:00
 1  0      0   1722     14   1879    0    0     0     0    0 1927 91  0  9  0  0  0 2025-12-22 10:49:01
 1  0      0   1722     14   1879    0    0     0     0    0 1391 90  1  9  0  0  0 2025-12-22 10:49:02
 1  0      0   1722     14   1879    0    0     0     0    0 1665 91  0  9  0  0  0 2025-12-22 10:49:03
 1  0      0   1722     14   1879    0    0     0     0    0 1684 90  1  9  0  0  0 2025-12-22 10:49:04
